"Zagreb (Yugoslavia)","1",low, "http://digital.wolfsonian.org"
"Washington, D.C. (United States)","1",low, "http://digital.wolfsonian.org"
"Connecticut","2",low, "http://digital.wolfsonian.org"
"United States.","8",low, "http://digital.wolfsonian.org"
"Scotland","27",medium, "http://digital.wolfsonian.org"
"Aberdeen (Scotland)","2",low, "http://digital.wolfsonian.org"
"Orkney (Scotland)","1",low, "http://digital.wolfsonian.org"
"Shetland (Scotland)","1",low, "http://digital.wolfsonian.org"
"Great Britain. Army","1",low, "http://digital.wolfsonian.org"
"Karlovy Vary (Czech Republic)","6",low, "http://digital.wolfsonian.org"
"Karlsbad (Bohemia).","1",low, "http://digital.wolfsonian.org"
"Mantova (Italy : Province)","2",low, "http://digital.wolfsonian.org"
"Mantua (Italy : Province)","3",low, "http://digital.wolfsonian.org"
"Tunis (Tunisia)","1",low, "http://digital.wolfsonian.org"
"New England (United States)","1",low, "http://digital.wolfsonian.org"
"Africa, Central","2",low, "http://digital.wolfsonian.org"
"New York World's Fair","1",low, "http://digital.wolfsonian.org"
"Karlsbad (Bohemia)","2",low, "http://digital.wolfsonian.org"
"Marseille (France)","7",low, "http://digital.wolfsonian.org"
"Hawaii","47",medium, "http://digital.wolfsonian.org"
"Jerusalem (Israel)","2",low, "http://digital.wolfsonian.org"
"Gerasa (Extinct city)","1",low, "http://digital.wolfsonian.org"
"Thailand","1",low, "http://digital.wolfsonian.org"
"Cincinnati (Ohio)","7",low, "http://digital.wolfsonian.org"
"Kings Mountain (N.C.)","1",low, "http://digital.wolfsonian.org"
"Alt-Karlsbad (Austria)","12",medium, "http://digital.wolfsonian.org"
"Touquet-Paris-Plage (France)","2",low, "http://digital.wolfsonian.org"
"Opale Coast (France)","1",low, "http://digital.wolfsonian.org"
"Lake Forest (Ill.)","1",low, "http://digital.wolfsonian.org"
"Chicago (Illinois).","2",low, "http://digital.wolfsonian.org"
"Fort Lauderdale (Fla.)","3",low, "http://digital.wolfsonian.org"
"West (U.S.)","12",medium, "http://digital.wolfsonian.org"
"Scandinavia","7",low, "http://digital.wolfsonian.org"
"Baltimore (Md.)","4",low, "http://digital.wolfsonian.org"
"Bavaria (Germany)","12",medium, "http://digital.wolfsonian.org"
"Britain","2",low, "http://digital.wolfsonian.org"
"Dunedin (N.Z.)","3",low, "http://digital.wolfsonian.org"
"Mexico","60",medium, "http://digital.wolfsonian.org"
"Chile","2",low, "http://digital.wolfsonian.org"
"History","1",low, "http://digital.wolfsonian.org"
"SaloÌ€ (Italy)","1",low, "http://digital.wolfsonian.org"
"Lombardy (Italy)","5",low, "http://digital.wolfsonian.org"
"Cameroon","8",low, "http://digital.wolfsonian.org"
"Caroline Islands","1",low, "http://digital.wolfsonian.org"
